dist,dist,dist,dist,dist
1,2,3,4,5
491.38382828575055,1087.774121913763,934.164040588688,,55.2626566693585
843.971690073536,833.691580658613,792.501379816565,,
,,662.515290723606,462.433521545581,
,1193.174293870115,560.864626656692,365.900870716593,
1223.36865421085,301.686589996353,791.9240385534654,0.0,
211.19848025005888,904.8071880413219,387.64801667408346,,
465.167978524587,891.6090998229582,883.4412644421086,,
316.14520437752566,966.5605878001861,663.948530917512,844.097621683409,984.07639841379
750.8341786296223,701.8093437541337,1491.36839309045,,
739.8451224733668,493.75571424316115,,,669.86424692184
804.2887438561224,682.2471254464223,825.676022475835,1041.45556463847,1220.6800561389334
938.9481381294951,883.0001905521361,677.08567396925,,152.035270163793
1190.29847276201,917.8467501137237,630.7375847334814,,
23.7288293966762,668.5599632447852,896.567272655197,,
221.7995131600075,573.127893134477,1181.266491610094,,
1123.0064832783287,620.9927726218594,,,
197.1370587218326,828.8887900516082,186.426297435342,,
0.0,985.7639949721538,1231.847783120425,,
816.1532510440899,938.2071661502674,472.26540318237016,,
413.4471404162786,759.3273297539264,,,
673.23764255725,,1091.13850733971,,
846.0504431510846,1340.89784745569,,,
626.0375074398924,,,,279.786650782268
486.5636640925474,964.5109061610883,,,
667.180185008303,851.0745073246031,756.937181905718,,
871.0961018676715,833.0399690848944,,,
545.1765116965671,,,,
1123.83106553029,624.4161783168754,831.6676756189132,,
887.410403737106,952.0268128748417,310.4761137916363,,
741.88320407904,924.2165288713516,95.9380826110068,,
,785.4721763752132,925.9667371244453,,
1123.59110408515,829.4676074311561,756.7222839824332,,
421.325800076651,842.6483967520073,602.0195703402085,,
395.1721490907065,801.4222712312926,809.8626941018628,,
0.0,,526.6348058902777,,
1006.805798692033,698.337538298735,,,
655.2500581625333,530.842585112428,1042.8593569350635,,
669.514647015871,135.39343633717783,1005.84599075828,,628.001433156446
15.7678571686801,736.257296699809,779.0673396870297,,
323.64803992209,760.6900837018559,963.24075608151,,614.506747912743
588.97210875208,674.471934821289,373.83071254241554,,
1052.83282232892,528.8009492081837,286.43523220838597,,
648.9185397717692,813.3479426269784,535.332465450829,,
1171.0739204754548,877.4287927318101,330.139959660551,,
1276.55732807402,483.78556174928565,853.4601056649045,,
,299.178586227835,854.5042366512757,,
519.0318936174974,,1346.883891095345,1422.23586029741,978.60221647103
1231.8167885254545,886.3218666176793,1000.4144589769364,,
587.3840799060632,80.9728049718471,,,
873.7418271518571,0.0,,,
347.6729337741055,1078.16600297124,,,634.904247595342
868.9475082198245,107.807445205043,325.7901497838305,,
346.35423193434775,485.785182041902,,,
875.060363831154,287.789729065389,788.7755408598779,,
718.7149635216394,728.0689144532178,394.508665191952,,
1006.08540877349,630.6575128896444,778.5115401483306,,
820.3425534590818,,,,
576.6950883248338,1272.8462157035167,929.4436644565568,,
661.5281605119948,756.2061077475942,724.045683499375,,
1028.586589972768,610.105332554897,834.5534862754654,,1020.2720356603265
,502.079084240835,834.4463202127804,,
823.1232653922715,0.0,,,
0.0,385.590720262625,959.229800632278,,
